cell_id,acq_date,latitude,longitude,frp,t_max,h_mean,wind_max,ndvi,ndwi,confidence,precip_sum,elevation_m
1503502050,2026-09-02,31.95378,11.14286,1.4,33.0,33.0,30.6,0.067,-0.095,n,0.0,251.0
1006348352,2026-09-02,31.95717,11.1437,1.4,33.0,33.0,30.6,0.071,-0.086,n,0.0,248.0
1263182010,2026-09-01,35.2335,8.17306,1.25,34.8,28.0,32.8,0.04,-0.11,n,0.0,1049.0
1207074421,2026-09-02,30.25261,8.08478,1.4,41.1,17.0,29.2,0.067,-0.136,n,0.0,219.0
2635681004,2026-09-02,30.25591,8.08546,1.4,41.1,17.0,29.2,0.051,-0.103,n,0.0,214.0
4047896815,2026-09-02,30.38886,7.90653,1.18,41.1,17.0,29.2,0.07,-0.175,n,0.0,207.0
3789392229,2026-09-02,30.66366,8.10468,1.66,41.1,17.0,29.2,0.074,-0.161,n,0.0,198.0
1704603474,2026-09-02,30.66427,8.10069,1.66,41.1,17.0,29.2,0.052,-0.081,n,0.0,198.0
301170722,2026-09-02,30.82417,8.02883,1.82,40.0,26.0,23.0,0.053,-0.109,n,0.0,191.0
1158805506,2026-09-02,30.82747,8.02952,1.82,40.0,26.0,23.0,0.059,-0.142,n,0.0,202.0
954430115,2026-09-02,31.00879,8.17209,2.41,40.0,26.0,23.0,0.063,-0.134,n,0.0,180.0
643493379,2026-09-02,31.01333,8.16477,1.3,40.0,26.0,23.0,0.063,-0.118,n,0.0,198.0
3802581818,2026-09-02,31.05355,8.03644,1.83,40.0,26.0,23.0,0.062,-0.132,n,0.0,184.0
1726049549,2026-09-02,31.05416,8.03242,4.18,40.0,26.0,23.0,0.062,-0.147,n,0.0,175.0
408967447,2026-09-02,31.05685,8.03713,1.83,40.0,26.0,23.0,0.06,-0.132,n,0.0,174.0
1020828959,2026-09-02,31.05747,8.03311,4.18,40.0,26.0,23.0,0.051,-0.142,n,0.0,171.0
3133114926,2026-09-02,31.05954,8.04183,0.75,40.0,26.0,23.0,0.062,-0.124,n,0.0,183.0
