latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.60498,10.58718,295.5,0.41,0.37,2012-01-20,0115,SNPP,SNPP,n,2,276.63,0.71,N,2
36.77734,10.22143,313.03,0.39,0.36,2012-01-20,0115,SNPP,SNPP,n,2,278.84,1.1,N,0
34.9392,8.52996,305.77,0.38,0.36,2012-01-20,0115,SNPP,SNPP,n,2,273.48,1.04,N,2
31.39834,10.02397,297.36,0.43,0.38,2012-01-20,0116,SNPP,SNPP,n,2,276,0.56,N,2
33.87486,9.99283,296,0.41,0.37,2012-01-20,0116,SNPP,SNPP,n,2,278.78,1.06,N,2
31.40351,9.85453,305.92,0.42,0.38,2012-01-20,0116,SNPP,SNPP,n,2,276.48,0.79,N,2
31.3175,9.92739,295.13,0.43,0.38,2012-01-20,0116,SNPP,SNPP,n,2,276.25,0.98,N,2
31.29265,9.98601,296.07,0.43,0.38,2012-01-20,0116,SNPP,SNPP,n,2,276.52,0.87,N,2
31.31942,9.73539,323.79,0.42,0.38,2012-01-20,0116,SNPP,SNPP,n,2,276.74,2.42,N,0
31.56383,9.40553,313.47,0.41,0.37,2012-01-20,0116,SNPP,SNPP,n,2,276.8,1.8,N,2
31.40694,9.85535,302.2,0.42,0.38,2012-01-20,0116,SNPP,SNPP,n,2,276.77,0.5,N,2
31.70108,9.24151,302.63,0.4,0.37,2012-01-20,0116,SNPP,SNPP,n,2,276.35,0.89,N,2
37.13674,9.81721,296.17,0.46,0.39,2012-01-21,0056,SNPP,SNPP,n,2,282.98,0.88,N,0
36.77992,10.20919,300.69,0.44,0.39,2012-01-21,0056,SNPP,SNPP,n,2,280.63,1.03,N,3
31.56224,9.40642,315.36,0.42,0.38,2012-01-21,0057,SNPP,SNPP,n,2,277.2,1.86,N,2
33.87506,9.99059,298.6,0.42,0.38,2012-01-21,0057,SNPP,SNPP,n,2,277.66,0.62,N,2
32.29169,10.95185,322.69,0.39,0.36,2012-01-21,0057,SNPP,SNPP,n,2,275.29,1.5,N,2
32.28957,10.94285,303.28,0.39,0.36,2012-01-21,0057,SNPP,SNPP,n,2,274.35,0.88,N,2
31.40555,9.854,321.21,0.41,0.37,2012-01-21,0057,SNPP,SNPP,n,2,277.67,1.6,N,2
31.40617,9.85551,313.68,0.41,0.37,2012-01-21,0057,SNPP,SNPP,n,2,277.55,0.91,N,2
31.31574,9.92644,309.65,0.41,0.37,2012-01-21,0057,SNPP,SNPP,n,2,276.47,1.28,N,2
31.28979,9.98738,306.19,0.41,0.37,2012-01-21,0057,SNPP,SNPP,n,2,276.45,1.13,N,2
31.31748,9.73656,316.43,0.41,0.37,2012-01-21,0057,SNPP,SNPP,n,2,276.41,1.91,N,0
36.68286,9.38906,337.66,0.39,0.36,2012-01-21,1217,SNPP,SNPP,n,2,285.69,4.3,D,0
34.60453,10.58585,296.24,0.44,0.46,2012-01-22,0038,SNPP,SNPP,n,2,278.23,0.93,N,2
33.87328,9.99263,297.99,0.47,0.48,2012-01-22,0038,SNPP,SNPP,n,2,279.01,1.3,N,2
31.40782,9.85436,302.01,0.45,0.47,2012-01-22,0039,SNPP,SNPP,n,2,276.54,0.95,N,2
31.40351,9.85372,315.81,0.45,0.47,2012-01-22,0039,SNPP,SNPP,n,2,277.99,2,N,2
31.67096,9.29087,298.57,0.46,0.64,2012-01-23,0020,SNPP,SNPP,n,2,276.96,1.11,N,0
31.56568,9.40619,295.08,0.45,0.63,2012-01-23,0020,SNPP,SNPP,n,2,276.52,0.6,N,2
34.93681,8.52804,296.65,0.41,0.45,2012-01-24,0140,SNPP,SNPP,n,2,276.06,1.23,N,2
33.87506,9.99138,296.33,0.52,0.5,2012-01-24,0141,SNPP,SNPP,n,2,280.2,0.97,N,2
32.29296,10.94947,299.13,0.63,0.54,2012-01-24,0141,SNPP,SNPP,n,2,276.9,1.83,N,2
31.70096,9.24327,302.05,0.52,0.5,2012-01-24,0141,SNPP,SNPP,n,2,275.67,1.55,N,2
31.66614,9.29077,319.71,0.53,0.5,2012-01-24,0141,SNPP,SNPP,n,2,275.61,3.6,N,0
31.56381,9.40547,305.46,0.54,0.51,2012-01-24,0141,SNPP,SNPP,n,2,276.15,1.09,N,2
31.31898,9.73688,310.2,0.57,0.52,2012-01-24,0141,SNPP,SNPP,n,2,276.61,2.24,N,0
31.3187,9.73624,309.46,0.57,0.52,2012-01-24,0141,SNPP,SNPP,n,2,276.46,1.82,N,0
34.93898,8.53057,301.1,0.4,0.37,2012-01-25,0122,SNPP,SNPP,n,2,276.96,1.13,N,2
33.87291,9.99237,302.92,0.45,0.39,2012-01-25,0122,SNPP,SNPP,n,2,280.22,1.11,N,2
32.29287,10.95105,309.62,0.53,0.42,2012-01-25,0122,SNPP,SNPP,n,2,276.71,1.04,N,2
32.29017,10.94448,297.14,0.53,0.42,2012-01-25,0122,SNPP,SNPP,n,2,276.41,1.04,N,2
