annee,gov_latin,gouvernorat,nombre,superficie_ha
2002,Tunis,تونس,5,0.28
2002,Ariana,أريانة,7,0.5493
2002,Ben Arous,بن عروس,1,1000.0
2002,Manouba,منوبة,3,1.51
2002,Nabeul,نابل,25,12.92
2002,Zaghouan,زغوان,1,2.43
2002,Bizerte,بنزرات,1,1.25
2002,Beja,باجة,6,3.52
2002,Jendouba,جندوبة,33,33.72
2002,Kef,الكاف,5,1.32
2002,Siliana,سليانة,11,3.455
2002,Kasserine,القصرين,12,6.16
2002,Sidi Bouzid,سيدي بوزيد,0,0.0
2002,Kairouan,القيروان,1,2.5
2002,Gafsa,قفصة,1,0.15
2002,Sousse,سوسة,0,0.0
2002,Sfax,صفاقس,0,0.0
2002,Mahdia,المهدية,0,0.0
2002,Monastir,المنستير,0,0.0
2002,Gabes,قابس,1,2.0
2002,Tozeur,توزر,0,0.0
2002,Tataouine,تطاوين,0,0.0
2002,Medenine,مدنين,0,0.0
2002,Kebili,قبلي,0,0.0
2003,Tunis,تونس,11,8.887
2003,Ariana,أريانة,15,2.523
2003,Ben Arous,بن عروس,30,11.471
2003,Manouba,منوبة,5,15.251
2003,Nabeul,نابل,17,130.513
2003,Zaghouan,زغوان,20,30.39
2003,Bizerte,بنزرات,5,55.11
2003,Beja,باجة,7,19.752
2003,Jendouba,جندوبة,52,75.868
2003,Kef,الكاف,3,0.35
2003,Siliana,سليانة,16,9.81
2003,Kasserine,القصرين,10,1.46
2003,Sidi Bouzid,سيدي بوزيد,0,0.0
2003,Kairouan,القيروان,3,0.41
2003,Gafsa,قفصة,3,0.57
2003,Sousse,سوسة,1,3.0
2003,Sfax,صفاقس,0,0.0
2003,Mahdia,المهدية,0,0.0
2003,Monastir,المنستير,0,0.0
2003,Gabes,قابس,0,0.0
2003,Tozeur,توزر,0,0.0
2003,Tataouine,تطاوين,0,0.0
2003,Medenine,مدنين,0,0.0
2003,Kebili,قبلي,0,0.0
2004,Tunis,تونس,2,1.015
2004,Ariana,أريانة,3,8.893
2004,Ben Arous,بن عروس,16,2.96
2004,Manouba,منوبة,2,1.02
2004,Nabeul,نابل,15,8.871
2004,Zaghouan,زغوان,20,16.389
2004,Bizerte,بنزرات,4,3.5
2004,Beja,باجة,9,8.823
2004,Jendouba,جندوبة,39,12.289
2004,Kef,الكاف,7,15.65
2004,Siliana,سليانة,26,29.534
2004,Kasserine,القصرين,0,0.0
2004,Sidi Bouzid,سيدي بوزيد,1,3.0
2004,Kairouan,القيروان,1,0.48
2004,Gafsa,قفصة,3,1.685
2004,Sousse,سوسة,2,1.0
2004,Sfax,صفاقس,0,0.0
2004,Mahdia,المهدية,1,5.0
2004,Monastir,المنستير,0,0.0
2004,Gabes,قابس,0,0.0
2004,Tozeur,توزر,0,0.0
2004,Tataouine,تطاوين,0,0.0
2004,Medenine,مدنين,0,0.0
2004,Kebili,قبلي,0,0.0
2005,Tunis,تونس,11,4.44
2005,Ariana,أريانة,52,26.347
2005,Ben Arous,بن عروس,59,32.347
2005,Manouba,منوبة,9,29.57
2005,Nabeul,نابل,54,102.018
2005,Zaghouan,زغوان,40,161.413
2005,Bizerte,بنزرات,2,1.255
2005,Beja,باجة,12,35.315
2005,Jendouba,جندوبة,63,70.356
2005,Kef,الكاف,0,0.0
2005,Siliana,سليانة,98,671.046
2005,Kasserine,القصرين,12,1.79
2005,Sidi Bouzid,سيدي بوزيد,0,0.0
2005,Kairouan,القيروان,4,16.0
2005,Gafsa,قفصة,0,0.0
2005,Sousse,سوسة,0,0.0
2005,Sfax,صفاقس,0,0.0
2005,Mahdia,المهدية,1,15.0
2005,Monastir,المنستير,0,0.0
2005,Gabes,قابس,0,0.0
2005,Tozeur,توزر,0,0.0
2005,Tataouine,تطاوين,0,0.0
2005,Medenine,مدنين,0,0.0
2005,Kebili,قبلي,0,0.0
2006,Tunis,تونس,8,1.085
2006,Ariana,أريانة,13,5.075
2006,Ben Arous,بن عروس,1,1.0
2006,Manouba,منوبة,0,0.0
2006,Nabeul,نابل,11,3.695
2006,Zaghouan,زغوان,5,4.7
2006,Bizerte,بنزرات,7,20.31
2006,Beja,باجة,3,5.5
2006,Jendouba,جندوبة,2,3.5
2006,Kef,الكاف,2,0.23
2006,Siliana,سليانة,27,15.3904
2006,Kasserine,القصرين,4,1.4525
2006,Sidi Bouzid,سيدي بوزيد,0,0.0
2006,Kairouan,القيروان,1,6.0
2006,Gafsa,قفصة,0,0.0
2006,Sousse,سوسة,0,0.0
2006,Sfax,صفاقس,0,0.0
2006,Mahdia,المهدية,1,20.0
2006,Monastir,المنستير,0,0.0
2006,Gabes,قابس,0,0.0
2006,Tozeur,توزر,0,0.0
2006,Tataouine,تطاوين,0,0.0
2006,Medenine,مدنين,3,3.0
2006,Kebili,قبلي,0,0.0
2007,Tunis,تونس,0,0.0
2007,Ariana,أريانة,12,54.7085
2007,Ben Arous,بن عروس,7,4.77
2007,Manouba,منوبة,5,17.2
2007,Nabeul,نابل,25,8.089
2007,Zaghouan,زغوان,9,86.46
2007,Bizerte,بنزرات,2,7.0
2007,Beja,باجة,9,117.0
2007,Jendouba,جندوبة,36,135.13
2007,Kef,الكاف,2,19.62
2007,Siliana,سليانة,13,4.096
2007,Kasserine,القصرين,8,0.2445
2007,Sidi Bouzid,سيدي بوزيد,1,3.0
2007,Kairouan,القيروان,0,0.0
2007,Gafsa,قفصة,0,0.0
2007,Sousse,سوسة,0,0.0
2007,Sfax,صفاقس,0,0.0
2007,Mahdia,المهدية,0,0.0
2007,Monastir,المنستير,0,0.0
2007,Gabes,قابس,0,0.0
2007,Tozeur,توزر,0,0.0
2007,Tataouine,تطاوين,0,0.0
2007,Medenine,مدنين,0,0.0
2007,Kebili,قبلي,0,0.0
2008,Tunis,تونس,1,0.35
2008,Ariana,أريانة,3,0.108
2008,Ben Arous,بن عروس,10,3.78
2008,Manouba,منوبة,2,4.0
2008,Nabeul,نابل,19,19.446
2008,Zaghouan,زغوان,8,114.25
2008,Bizerte,بنزرات,3,29.5
2008,Beja,باجة,9,112.03
2008,Jendouba,جندوبة,11,26.555
2008,Kef,الكاف,8,93.27
2008,Siliana,سليانة,23,17.03
2008,Kasserine,القصرين,13,9.853
2008,Sidi Bouzid,سيدي بوزيد,1,0.14
2008,Kairouan,القيروان,4,11.03
2008,Gafsa,قفصة,0,0.0
2008,Sousse,سوسة,1,0.5
2008,Sfax,صفاقس,0,0.0
2008,Mahdia,المهدية,0,0.0
2008,Monastir,المنستير,0,0.0
2008,Gabes,قابس,0,0.0
2008,Tozeur,توزر,0,0.0
2008,Tataouine,تطاوين,0,0.0
2008,Medenine,مدنين,0,0.0
2008,Kebili,قبلي,0,0.0
2009,Tunis,تونس,1,1.5
2009,Ariana,أريانة,10,2.69
2009,Ben Arous,بن عروس,0,0.0
2009,Manouba,منوبة,4,0.26
2009,Nabeul,نابل,17,2.8
2009,Zaghouan,زغوان,6,2.56
2009,Bizerte,بنزرات,10,5.75
2009,Beja,باجة,8,11.04
2009,Jendouba,جندوبة,8,1.51
2009,Kef,الكاف,7,3.1
2009,Siliana,سليانة,7,4.69
2009,Kasserine,القصرين,11,20.48
2009,Sidi Bouzid,سيدي بوزيد,1,1.5
2009,Kairouan,القيروان,2,4.03
2009,Gafsa,قفصة,0,0.0
2009,Sousse,سوسة,2,0.35
2009,Sfax,صفاقس,0,0.0
2009,Mahdia,المهدية,1,0.02
2009,Monastir,المنستير,0,0.0
2009,Gabes,قابس,1,0.0075
2009,Tozeur,توزر,0,0.0
2009,Tataouine,تطاوين,0,0.0
2009,Medenine,مدنين,0,0.0
2009,Kebili,قبلي,0,0.0
2010,Tunis,تونس,1,3.7
2010,Ariana,أريانة,10,3.415
2010,Ben Arous,بن عروس,3,1.6245
2010,Manouba,منوبة,9,9.86
2010,Nabeul,نابل,7,3.912
2010,Zaghouan,زغوان,10,178.235
2010,Bizerte,بنزرات,2,2.14
2010,Beja,باجة,19,320.76
2010,Jendouba,جندوبة,22,15.4205
2010,Kef,الكاف,2,2.6
2010,Siliana,سليانة,35,171.1027
2010,Kasserine,القصرين,4,0.584
2010,Sidi Bouzid,سيدي بوزيد,2,0.006
2010,Kairouan,القيروان,1,0.5
2010,Gafsa,قفصة,1,0.22
2010,Sousse,سوسة,3,0.11
2010,Sfax,صفاقس,0,0.0
2010,Mahdia,المهدية,1,0.012
2010,Monastir,المنستير,0,0.0
2010,Gabes,قابس,0,0.0
2010,Tozeur,توزر,0,0.0
2010,Tataouine,تطاوين,0,0.0
2010,Medenine,مدنين,0,0.0
2010,Kebili,قبلي,0,0.0
2011,Tunis,تونس,1,0.02
2011,Ariana,أريانة,10,4.428
2011,Ben Arous,بن عروس,3,2.1
2011,Manouba,منوبة,3,7.6
2011,Nabeul,نابل,28,489.9936
2011,Zaghouan,زغوان,8,6.135
2011,Bizerte,بنزرات,13,494.304
2011,Beja,باجة,7,116.75
2011,Jendouba,جندوبة,43,100.7802
2011,Kef,الكاف,27,365.7435
2011,Siliana,سليانة,24,77.423
2011,Kasserine,القصرين,0,0.0
2011,Sidi Bouzid,سيدي بوزيد,0,0.0
2011,Kairouan,القيروان,6,22.0
2011,Gafsa,قفصة,1,2.0
2011,Sousse,سوسة,0,0.0
2011,Sfax,صفاقس,0,0.0
2011,Mahdia,المهدية,1,0.6
2011,Monastir,المنستير,0,0.0
2011,Gabes,قابس,0,0.0
2011,Tozeur,توزر,0,0.0
2011,Tataouine,تطاوين,0,0.0
2011,Medenine,مدنين,0,0.0
2011,Kebili,قبلي,0,0.0
2012,Tunis,تونس,0,0.0
2012,Ariana,أريانة,17,22.51
2012,Ben Arous,بن عروس,12,19.4
2012,Manouba,منوبة,5,14.55
2012,Nabeul,نابل,28,72.675
2012,Zaghouan,زغوان,26,92.45
2012,Bizerte,بنزرات,11,10.0
2012,Beja,باجة,20,161.7
2012,Jendouba,جندوبة,76,316.26
2012,Kef,الكاف,19,487.79
2012,Siliana,سليانة,36,831.03
2012,Kasserine,القصرين,35,24.32
2012,Sidi Bouzid,سيدي بوزيد,4,4.79
2012,Kairouan,القيروان,13,28.63
2012,Gafsa,قفصة,5,1.725
2012,Sousse,سوسة,1,2.0
2012,Sfax,صفاقس,1,2.0
2012,Mahdia,المهدية,0,0.0
2012,Monastir,المنستير,0,0.0
2012,Gabes,قابس,2,1.245
2012,Tozeur,توزر,0,0.0
2012,Tataouine,تطاوين,0,0.0
